Price,Area,BHK,Bathroom,Age
160,1000,4,4,10
190,1250,2,4,5
48.5,600,2,2,7
1200,6350,24,27,12
450,2150,10,13,3
110,914,1,1,14
17,455,1,1,20
270,1080,2,1,7
17,455,1,1,21
400,2450,6,5,6
60,450,2,1,6
75,1275,2,2,1
850,3400,10,9,1
85,650,4,2,10
50,700,6,3,13
155,1205,4,4,6
41,800,2,2,12
450,2540,5,4,0
55,900,3,3,15
450,3200,7,4,12
45,400,1,1,0
120,2000,6,5,54
225,1252,7,9,1
350,3200,3,3,12
60,1000,2,2,42
70,1000,1,2,21
100,1300,6,4,44
85,1250,2,2,52
47,1150,2,2,0.5
10.75,402,1.5,2,0.5
60,2100,5,3,3
58,1800,3.5,2,0.5
42,1500,4,3,0.5
90,1700,2,2,0.5
42,1150,3,3,0.5
57,1150,3,3,0.5
6,400,1.5,2,6
